GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AllergyService,com.capstone.application.controller,AllergyController,27,0,0,0,9,0,4,0,4,0
AllergyService,com.capstone.application.service.impl,AllergyServiceImpl,58,0,4,0,17,0,6,0,4,0
